Country,GDP,Population
United States,16197,313.9
China,8532,1350.7
United Kingdom,2704,63.7
South Asia,2300,1683.7
India,1828,1265.8
South Korea,1278,50.2
Indonesia,918,248.5
Turkey,881,74.7
Saudi Arabia,736,29.2
Iran,599,75.5
Thailand,398,67.8
South Africa,396,52.8
United Arab Emirates,375,9.1
Singapore,295,5.3
Egpyt,279,86.4
Philippines,262,97.2
Israel,257,7.9
Pakistan,224,187.3
Iraq,218,31.9
Kuwait,174,3.3
Bangladesh,133,151
Oman,77,3.5
Sri Lanka,68,20.4
Lebanon,44,5.5
Jordan,32,8.1
Bahrain,31,1.3
Afghanistan,20,31.2
